iter	Passed	Remaining
421	2253	3086
422	2258	3080
423	2263	3074
424	2268	3068
425	2273	3063
426	2278	3057
427	2283	3052
428	2289	3046
429	2294	3041
430	2299	3035
431	2304	3030
432	2309	3024
433	2314	3018
434	2319	3013
435	2325	3007
436	2330	3002
437	2335	2996
438	2340	2991
439	2345	2985
440	2350	2979
441	2355	2973
442	2360	2968
443	2365	2962
444	2370	2956
445	2375	2950
446	2380	2944
447	2385	2939
448	2397	2941
449	2402	2936
450	2407	2930
451	2412	2924
452	2417	2918
453	2422	2913
454	2427	2907
455	2432	2901
456	2437	2896
457	2442	2890
458	2447	2884
459	2452	2879
460	2457	2873
461	2462	2868
462	2468	2862
463	2473	2857
464	2478	2851
465	2483	2845
466	2488	2839
467	2492	2833
468	2497	2828
469	2502	2822
470	2507	2816
471	2512	2811
472	2518	2805
473	2523	2799
474	2528	2794
475	2533	2789
476	2538	2783
477	2543	2777
478	2548	2772
479	2553	2766
480	2558	2760
481	2563	2755
482	2568	2749
483	2573	2743
484	2578	2737
485	2583	2732
486	2588	2726
487	2593	2721
488	2598	2715
489	2603	2710
490	2608	2704
491	2613	2698
492	2618	2693
493	2623	2687
494	2628	2681
495	2633	2676
496	2638	2670
497	2644	2665
498	2648	2659
499	2653	2653
500	2658	2648
501	2663	2642
502	2668	2637
503	2674	2631
504	2678	2625
505	2684	2620
506	2689	2615
507	2694	2609
508	2699	2603
509	2704	2598
510	2709	2592
511	2714	2587
512	2719	2581
513	2724	2576
514	2729	2570
515	2734	2565
516	2739	2559
517	2744	2553
518	2749	2548
519	2754	2542
520	2759	2537
521	2765	2532
522	2771	2527
523	2776	2521
524	2781	2516
525	2786	2510
526	2790	2504
527	2795	2499
528	2800	2493
529	2805	2488
530	2810	2482
531	2815	2477
532	2820	2471
533	2826	2466
534	2831	2460
535	2836	2455
536	2842	2450
537	2847	2445
538	2852	2439
539	2857	2434
540	2862	2428
541	2867	2423
542	2872	2417
543	2877	2412
544	2883	2407
545	2888	2402
546	2893	2396
547	2899	2391
548	2904	2385
549	2909	2380
550	2914	2375
551	2919	2369
552	2924	2364
553	2930	2358
554	2935	2353
555	2940	2347
556	2945	2342
557	2950	2336
558	2955	2331
559	2960	2325
560	2965	2320
561	2970	2314
562	2974	2309
563	2979	2303
564	2984	2298
565	2989	2292
566	2995	2287
567	3000	2281
568	3005	2276
569	3010	2271
570	3015	2265
571	3020	2260
572	3025	2254
573	3030	2249
574	3035	2243
575	3040	2238
576	3045	2233
577	3050	2227
578	3056	2222
579	3061	2216
580	3066	2211
581	3071	2205
582	3076	2200
583	3081	2194
584	3086	2189
585	3091	2184
586	3096	2178
587	3101	2172
588	3106	2167
589	3111	2161
590	3116	2156
591	3121	2151
592	3126	2145
593	3131	2140
594	3136	2134
595	3141	2129
596	3147	2124
597	3152	2119
598	3157	2113
599	3162	2108
600	3167	2103
601	3173	2097
602	3178	2092
603	3183	2087
604	3188	2082
605	3194	2076
606	3199	2071
607	3204	2065
608	3209	2060
609	3214	2055
610	3219	2049
611	3224	2044
612	3229	2038
613	3234	2033
614	3239	2027
615	3244	2022
616	3249	2017
617	3254	2011
618	3260	2006
619	3264	2001
620	3269	1995
621	3275	1990
622	3280	1984
623	3285	1979
624	3290	1974
625	3295	1968
626	3300	1963
627	3305	1957
628	3310	1952
629	3315	1946
630	3319	1941
631	3324	1935
632	3329	1930
633	3334	1925
634	3339	1919
635	3344	1914
636	3349	1908
637	3354	1903
638	3359	1897
639	3364	1892
640	3368	1886
641	3373	1881
642	3379	1876
643	3384	1870
644	3389	1865
645	3394	1859
646	3399	1854
647	3404	1849
648	3409	1843
649	3414	1838
650	3419	1833
651	3424	1828
652	3430	1822
653	3435	1817
654	3439	1811
655	3445	1806
656	3450	1801
657	3455	1795
658	3461	1791
659	3466	1785
660	3471	1780
661	3476	1775
662	3481	1769
663	3486	1764
664	3491	1758
