iter	Logloss
400	0.3632949021
401	0.3631142007
402	0.3630121818
403	0.3628218453
404	0.3626824111
405	0.3625772787
406	0.3624237977
407	0.3623270297
408	0.3620300917
409	0.3619129704
410	0.3618253548
411	0.3615283684
412	0.3614286928
413	0.3612822138
414	0.3611770941
415	0.3610083675
416	0.3608303601
417	0.3607526282
418	0.3605499477
419	0.360376304
420	0.3603111152
421	0.3601935769
422	0.3600000161
423	0.3599096578
424	0.3598059696
425	0.3595294385
426	0.3594139231
427	0.3593010024
428	0.3591946705
429	0.35898117
430	0.358870604
431	0.3587378815
432	0.3586258503
433	0.3585292437
434	0.3582809797
435	0.3581241589
436	0.357898798
437	0.3578035261
438	0.3576556993
439	0.3575530501
440	0.3574094287
441	0.3572370195
442	0.357138126
443	0.3568850528
444	0.3567585895
445	0.3565405131
446	0.3564298125
447	0.3562641693
448	0.3561274976
449	0.3558779082
450	0.3556500751
451	0.3555555114
452	0.3554859358
453	0.3553325734
454	0.3552254433
455	0.3550965402
456	0.3550162234
457	0.3548650882
458	0.3546792329
459	0.3545822609
460	0.3545010166
461	0.3542776455
462	0.3541679015
463	0.3540443321
464	0.3539131032
465	0.3537153189
466	0.3535112627
467	0.3534071258
468	0.3533063187
469	0.3531017035
470	0.3529623503
471	0.3527400778
472	0.3525694657
473	0.352428849
474	0.3523361064
475	0.3521771921
476	0.3520717981
477	0.3519511352
478	0.3517749138
479	0.3516790297
480	0.3515178852
481	0.3514176585
482	0.3512117399
483	0.3510518006
484	0.3509179639
485	0.350804705
486	0.3505847881
487	0.350391896
488	0.3502822318
489	0.3501617628
490	0.3500253229
491	0.3498666058
492	0.349673398
493	0.3495352693
494	0.3494185164
495	0.3492945506
496	0.3491545581
497	0.3490297854
498	0.3489194315
499	0.3488197291
500	0.3486259422
501	0.3484471097
502	0.348317814
503	0.3480945796
504	0.3479603212
505	0.347771586
506	0.3475515756
507	0.3473807727
508	0.3472634257
509	0.3471840286
510	0.346977055
511	0.3468300517
512	0.3466279996
513	0.3465058048
514	0.3463046696
515	0.3461865213
516	0.3460115214
517	0.3459096351
518	0.3458095272
519	0.34564694
520	0.3455544354
521	0.3453791998
522	0.3451610571
523	0.3450613158
524	0.3448659344
525	0.3447895036
526	0.3445521675
527	0.3444166677
528	0.344301858
529	0.3442270405
530	0.3440597105
531	0.3439020231
532	0.3438055748
533	0.3437177365
534	0.3436355674
535	0.3434873841
536	0.3433664418
537	0.3432212726
538	0.3430887171
539	0.3429429672
540	0.3427580776
541	0.3426161453
542	0.342537514
543	0.3424139232
544	0.342253539
545	0.342018056
546	0.3419205768
547	0.3417783235
548	0.3416384603
549	0.3414914131
550	0.3413302422
551	0.3412221359
552	0.3411297515
553	0.3409766734
554	0.3408825847
555	0.3407572076
556	0.340605748
557	0.3404986324
558	0.3403561303
559	0.3402208534
560	0.3400412292
561	0.3399571368
562	0.3398915803
563	0.3398023665
564	0.3396821732
565	0.3395696895
566	0.3394094168
567	0.3392874113
568	0.3391435357
569	0.3389605728
570	0.3386766376
571	0.3384983856
572	0.3383585162
573	0.338252394
574	0.3381628548
575	0.3380705034
576	0.3379983622
577	0.3377826233
578	0.3375557756
579	0.3374344426
580	0.3373107521
581	0.3371684993
582	0.3370077388
583	0.3368557957
584	0.3367092476
585	0.3365800245
586	0.3364931017
587	0.336364811
588	0.3362282793
589	0.3361228758
590	0.335998292
591	0.3358971831
592	0.3357845903
593	0.3356848207
594	0.3355875061
595	0.3354547124
596	0.3353331063
597	0.3351813741
598	0.3349970596
599	0.3348597514
600	0.334764637
601	0.3346493549
602	0.3345518615
603	0.3344480741
604	0.3343434091
605	0.3342317362
606	0.3341042741
607	0.3339355334
608	0.333823243
609	0.3335976191
610	0.3335024178
611	0.333428416
612	0.3333356457
613	0.3332664777
614	0.3331246465
615	0.3329744723
616	0.3328798361
617	0.3327984263
618	0.3326867545
619	0.3325688885
620	0.3324272076
621	0.3321875957
622	0.3321052565
623	0.3319915722
624	0.3318878323
625	0.3317960817
626	0.3316712857
627	0.3315800822
628	0.331438005
629	0.3312785987
630	0.3312147555
631	0.3311274721
632	0.3309803183
633	0.3309272329
634	0.3308373074
635	0.3307515217
636	0.3306672586
637	0.3305279419
638	0.3304309224
639	0.3303488162
640	0.3302877954
641	0.3300977518
642	0.3299837814
643	0.3298888705
644	0.3297680022
645	0.3296406725
646	0.3295162944
647	0.3294314772
648	0.3293326699
649	0.3291778542
650	0.3290611341
651	0.328960152
652	0.3288453728
653	0.3287633024
654	0.328690905
655	0.3285837451
656	0.3284225583
657	0.3282493123
658	0.3281380706
659	0.3280261897
660	0.3278720101
661	0.327745274
662	0.3276507119
663	0.3275763392
664	0.327441522
665	0.3273140132
666	0.3272230046
667	0.3271249773
668	0.3270272761
669	0.3269398963
670	0.3268548323
671	0.3267534428
672	0.3265807977
673	0.3265034315
674	0.3263912527
675	0.3261963844
676	0.326118546
677	0.326049645
678	0.3258277312
679	0.3257685052
680	0.3256742247
681	0.3256048862
682	0.3255104551
683	0.3254489881
684	0.3252759654
685	0.3251302387
686	0.3249732098
687	0.3248972704
688	0.3247989408
689	0.3246938973
690	0.3245245096
691	0.3243889013
692	0.3242294901
693	0.3241536742
694	0.3239696282
695	0.323814928
696	0.3236536211
697	0.3235737537
698	0.3235067309
699	0.3233516558
700	0.3232602802
701	0.3231854763
702	0.3230859533
703	0.3229700241
704	0.3228456738
705	0.3226224368
706	0.3225287297
707	0.3224272556
708	0.3223596098
709	0.3222213797
710	0.3221455196
711	0.3220623385
712	0.3219507694
713	0.3218997337
714	0.3218404441
715	0.3216957752
716	0.3215157869
717	0.3214328248
718	0.3212905671
719	0.3211744753
720	0.3210758742
721	0.3208663635
722	0.3207470939
723	0.3206539596
724	0.3205628583
725	0.3205193922
726	0.3204445701
727	0.3203503663
728	0.3202620814
729	0.3201021278
730	0.3199373693
731	0.3198273597
732	0.3197257449
733	0.3196242252
734	0.319401033
735	0.3192905744
736	0.3191536247
737	0.3190384266
738	0.3189354353
739	0.3188571622
740	0.3187149765
741	0.318608979
742	0.3185591497
743	0.3184961339
744	0.318407045
745	0.3183134724
746	0.3182593122
747	0.3181163382
748	0.3180532774
749	0.3178181371
750	0.3177136808
751	0.3176519672
752	0.3175405799
753	0.3173764635
754	0.3172846773
755	0.3170890821
756	0.3168729012
757	0.3167156175
758	0.3165497575
759	0.3164792999
760	0.3164087725
761	0.3163277577
762	0.3161773424
763	0.3160389411
764	0.3159850572
765	0.3158859573
766	0.3157068659
767	0.3156268543
768	0.3155584869
769	0.3154589724
770	0.3152997843
771	0.3151499297
772	0.3150508492
773	0.3149232357
774	0.3147311886
775	0.3146129758
776	0.314528637
777	0.3144465299
778	0.3143587119
779	0.3142260964
780	0.3141025349
781	0.3140227488
782	0.3138484092
783	0.3137471525
784	0.3136746361
785	0.3135519751
786	0.3134737403
787	0.3134096987
788	0.3133059102
789	0.3132222452
790	0.3131758682
791	0.3131293591
792	0.3129919565
793	0.3128948506
794	0.3126996775
795	0.3125998769
796	0.3125063551
797	0.3123854702
798	0.3122938752
799	0.3122345676
800	0.3121298
801	0.3120231122
802	0.3119646958
803	0.3118636564
804	0.3117302671
805	0.3116279932
806	0.3115236774
807	0.3114476199
808	0.3113864828
809	0.3113453988
810	0.3112179191
811	0.3111793971
812	0.3109827513
813	0.3109243843
814	0.3108449455
815	0.3107196393
816	0.3106307915
817	0.3105684122
818	0.31046614
819	0.3103822659
820	0.3102726133
821	0.310159906
822	0.31005065
823	0.3099551734
824	0.3098623814
825	0.3097688985
826	0.3095938535
827	0.3094630868
828	0.3094026508
829	0.3092772655
830	0.3091806756
831	0.3090766744
832	0.3089821823
833	0.308826192
834	0.3086519089
835	0.3085890888
836	0.3084994515
837	0.3083533854
838	0.3082266385
839	0.3081839846
840	0.3081286884
841	0.3080284691
842	0.3079470503
843	0.3078599919
844	0.3077748504
845	0.3077156633
846	0.3076647735
847	0.3075439539
848	0.3074756378
849	0.3073316282
850	0.3072404181
851	0.3071220435
852	0.3070022746
853	0.3068331336
854	0.3067011541
855	0.3066442353
856	0.3065520209
857	0.3064755455
858	0.3064432191
859	0.3063675877
860	0.306270202
861	0.3061749401
862	0.3061162935
863	0.3059507916
864	0.3058618961
865	0.3057061034
866	0.3056264738
867	0.3054992379
868	0.3053655681
869	0.3052255061
870	0.3051531776
871	0.3050812537
872	0.3049525131
873	0.3047568933
874	0.3046864036
875	0.3045580486
876	0.3044483454
877	0.3043346805
878	0.3042236354
879	0.3041811181
880	0.3040230172
881	0.3039236713
882	0.3038185873
883	0.3036844149
884	0.3035917471
885	0.3035466179
886	0.303497182
887	0.3034466061
888	0.30338594
889	0.3032332536
890	0.3031746659
891	0.303086743
892	0.302966975
893	0.3028821645
894	0.3027820057
895	0.3027173441
896	0.3026636443
897	0.3025229062
898	0.3024345481
899	0.3022963472
900	0.3021716571
901	0.3021140424
902	0.3020076948
903	0.3019137008
904	0.3018592401
905	0.3018049369
906	0.3017046463
907	0.301590864
908	0.3015138234
909	0.3013914152
910	0.3012539393
911	0.3011320782
912	0.3010620604
913	0.3009837473
914	0.3008905874
915	0.3008099739
916	0.300725989
917	0.3006567776
918	0.3005743291
919	0.3005201056
920	0.3004550068
921	0.3003469528
922	0.3002960107
923	0.3002514336
924	0.3002006901
925	0.3000882885
926	0.3000126729
927	0.2999240935
928	0.299818965
929	0.2997678389
930	0.2996433367
931	0.2995656872
932	0.2994777911
933	0.299382741
934	0.2992962278
935	0.2991444534
936	0.2990321544
937	0.2989511808
938	0.2988684735
939	0.2987666077
940	0.2986948272
941	0.2986386436
942	0.2984899223
943	0.2984361914
944	0.2983900591
945	0.2982389
946	0.2981723575
947	0.298088189
948	0.2979711316
949	0.2978560038
950	0.2977507368
951	0.2976660075
952	0.297548751
953	0.2974386437
954	0.297344971
955	0.2972969614
956	0.2972077904
957	0.2971197971
958	0.2970201517
959	0.2968730988
960	0.296789539
961	0.2967044794
962	0.2966523257
963	0.2965910614
964	0.2964911584
965	0.2962852506
966	0.2962003346
967	0.2960803334
968	0.2959836689
969	0.2958897064
970	0.2958409972
971	0.2957404892
972	0.2955441643
973	0.295434075
974	0.2953734535
975	0.2952847282
976	0.2951957257
977	0.2951271897
978	0.2950739699
979	0.2949919789
980	0.2949210692
981	0.2948394251
982	0.2947113508
983	0.2945305202
984	0.2944246113
985	0.2943504952
986	0.2942593047
987	0.2941351688
988	0.2940418077
989	0.2939780544
990	0.2938860042
991	0.2938295431
992	0.2937106222
993	0.2936663217
994	0.2935617011
995	0.2934767684
996	0.293423628
997	0.2933780025
998	0.2932884329
999	0.2932037335
